case_key,material_key,material_title,condition_key,condition_label,protocol_path,top1_stable_fraction,min_top5_overlap,mean_top5_overlap,min_top10_overlap,mean_top10_overlap,min_spearman,mean_spearman
ceo2_crystalline__comp,ceo2_crystalline,Crystalline CeO2,comp,Comp,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8.pkl,0.3333333333333333,5,5.0,10,10.0,0.9989918991899188,0.9996652998633196
ceo2_crystalline__comp_spg,ceo2_crystalline,Crystalline CeO2,comp_spg,Comp + SG,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_Ce4O8_Fm-3m.pkl,0.3333333333333333,5,5.0,9,9.222222222222221,0.9997719771977197,0.9999066573323998
ceo2_crystalline__none,ceo2_crystalline,Crystalline CeO2,none,None,experimental_protocols/crystalline_CeO2_protocol_titanrtx/crystalline_CeO2_BM31_protocol_none.pkl,0.6666666666666666,2,3.3333333333333335,4,7.0,0.9801731601731603,0.9905009276437846
ceo2_particle__comp,ceo2_particle,Nanocrystalline CeO2,comp,Comp,experimental_protocols/particles_CeO2_protocol_titanrtx/Hydrolyse_ID10_20min_3-56_boro_0p8_protocol_Ce4O8.pkl,1.0,5,5.0,10,10.0,0.9979092152324847,0.9990678401944968
ceo2_particle__comp_spg,ceo2_particle,Nanocrystalline CeO2,comp_spg,Comp + SG,experimental_protocols/particles_CeO2_protocol_titanrtx/Hydrolyse_ID10_20min_3-56_boro_0p8_protocol_Ce4O8_Fm-3m.pkl,1.0,1,3.111111111111111,2,5.222222222222222,0.5252690166975881,0.8195657252800109
ceo2_particle__none,ceo2_particle,Nanocrystalline CeO2,none,None,experimental_protocols/particles_CeO2_protocol_titanrtx/Hydrolyse_ID10_20min_3-56_boro_0p8_protocol_none.pkl,1.0,5,5.0,10,10.0,0.9993425205133598,0.9996873319774644
fe2o3_crystalline__comp,fe2o3_crystalline,Crystalline Fe2O3,comp,Comp,experimental_protocols/crystalline_Fe2O3_protocol_titanrtx/AFS012d_a850C_protocol_Fe12O18.pkl,1.0,4,4.666666666666667,9,9.333333333333334,0.9911069882498453,0.9956902356902356
fe2o3_crystalline__comp_spg,fe2o3_crystalline,Crystalline Fe2O3,comp_spg,Comp + SG,experimental_protocols/crystalline_Fe2O3_protocol_titanrtx/AFS012d_a850C_protocol_Fe12O18_R-3c.pkl,1.0,3,4.0,6,7.444444444444445,0.913207320732073,0.9656112277894455
fe2o3_crystalline__none,fe2o3_crystalline,Crystalline Fe2O3,none,None,experimental_protocols/crystalline_Fe2O3_protocol_titanrtx/AFS012d_a850C_protocol_none.pkl,1.0,5,5.0,10,10.0,0.9998844055918794,0.9999438082738303
si_crystalline__comp,si_crystalline,Crystalline Si,comp,Comp,experimental_protocols/crystalline_Si_protocol_titanrtx/Si_Mythen_protocol_Si8.pkl,0.2222222222222222,3,3.6666666666666665,6,7.555555555555555,0.9898349834983498,0.9954275427542753
si_crystalline__comp_spg,si_crystalline,Crystalline Si,comp_spg,Comp + SG,experimental_protocols/crystalline_Si_protocol_titanrtx/Si_Mythen_protocol_Si8_Fd-3m.pkl,0.2222222222222222,0,2.0,5,7.333333333333333,0.9604320432043204,0.982138213821382
si_crystalline__none,si_crystalline,Crystalline Si,none,None,experimental_protocols/crystalline_Si_protocol_titanrtx/Si_Mythen_protocol_none.pkl,0.6666666666666666,2,3.3333333333333335,6,7.333333333333333,0.9814821482148214,0.9903296996366302
